X,Y,U,Pb,Mo
-62.60309644,50.3750129,1.8,7.81,0.84
-62.95300652,50.54016878,3.9,3.5,0.92
-62.36706765,50.35643053,6.5,7.46,1.33
-62.85307213,50.53307086,2.5,2.29,0.85
-62.80537464,50.60296785,1.8,3.57,0.75
-62.90206473,50.31341367,2.7,15.86,0.49
-62.29517526,50.437139,40.5,7.57,1.65
-62.35287485,50.40770569,3.7,8.6,1.16
-62.63589284,50.35281626,1.3,5.98,0.64
-62.70957472,50.52127203,3.4,6.64,0.52
-62.75414756,50.58715099,0.9,1.85,0.19
-62.30335054,50.58036297,1.6,5.79,1.42
-62.96656712,50.56179311,1.4,2.48,0.5
-62.80537464,50.60296785,1.8,3.57,0.75
-62.42150997,50.63146158,4.5,5.21,2.12
-62.38483682,50.6354106,1.7,4.8,0.46
-62.62010513,50.56941612,8.1,3.3,1.04
-62.69031235,50.65154237,2.6,3.04,0.9
-62.32226348,50.51239509,1.0,3.58,0.72
-62.83735069,50.57082141,0.5,5.67,0.29
-62.78623273,50.39869677,4.8,6.76,2.28
-62.84509926,50.56774731,2.3,4.23,1.01
-62.02498061,50.47655915,7.2,7.28,0.91
-62.97515917,50.60041185,0.8,3.77,2.25
-62.52796003,50.5205155,3.5,8.67,0.39
-62.08135022,50.45498353,35.2,5.63,2.69
-62.60481638,50.58072366,2.1,3.32,4.28
-62.16019309,50.32930874,0.2,4.48,0.22
-62.02746063,50.44429294,7.3,5.06,1.85
-62.92579911,50.49464878,0.9,3.79,0.86
-62.63589284,50.35281626,1.3,5.98,0.64
-62.4927488,50.35596738,1.6,3.95,0.53
-62.4761194,50.59053116,2.5,6.86,0.5
-62.84509926,50.56774731,2.3,4.23,1.01
-62.67709736,50.51566462,5.2,3.45,1.16
-62.77904708,50.57312658,1.2,13.52,0.69
-62.79490352,50.57372215,1.3,2.63,0.66
-62.63324022,50.29569867,0.1,3.71,0.28
-62.47416839,50.67684753,3.6,6.02,2.44
-62.90856254,50.53534898,1.5,2.87,1.21
-62.55086418,50.29172221,1.1,15.04,0.36
-62.85543548,50.68298902,1.7,2.0,0.38
-62.14070181,50.56128988,7.4,7.25,2.67
-62.99764081,50.58950581,2.3,5.26,2.94
-62.69031235,50.65154237,2.6,3.04,0.9
-62.96656712,50.56179311,1.4,2.48,0.5
-62.17223325,50.41339576,0.8,3.0,3.0
-62.93104595,50.37683877,5.9,6.42,1.99
-62.95300652,50.54016878,3.9,3.5,0.92
-62.05812243,50.38248907,1.3,5.16,0.33
-62.48800632,50.59129447,1.4,3.23,1.2
-62.6400681,50.71066208,2.1,3.23,0.7
-62.72663346,50.43751351,2.1,3.63,2.09
-62.1653752,50.53925567,14.8,4.14,2.0
-62.47234689,50.4476103,1.2,5.34,0.77
-62.29517526,50.437139,40.5,7.57,1.65
-62.73163965,50.62278606,2.5,2.68,1.24
-62.07012623,50.63206505,27.4,5.71,1.04
-62.05495817,50.57753324,17.9,8.58,1.46
-62.83766863,50.51526177,0.6,1.64,0.58
-62.72407655,50.50186383,2.3,6.96,0.78
-62.07012623,50.63206505,27.4,5.71,1.04
-62.39446895,50.37942011,1.2,5.3,0.38
-62.98474751,50.53163371,2.7,3.18,2.51
-62.39446895,50.37942011,1.2,5.3,0.38
-62.43458223,50.54357202,3.7,5.49,1.26
-62.4927488,50.35596738,1.6,3.95,0.53
-62.43464618,50.72684375,4.1,6.89,0.91
-62.15645499,50.71473997,4.3,6.33,1.72
-62.30936862,50.33163951,3.2,9.25,0.4
-62.69435181,50.63941238,4.8,4.4,0.97
-62.81183522,50.68373616,5.1,7.0,5.0
-62.20126195,50.45317027,0.05,8.71,0.04
-62.78057445,50.56657344,3.0,6.21,0.4
